FIPS,STATE,CTYNAME,POVEST,POVRATE,MEDINCOME,TOTALPOP,GENDER_M,GENDER_F,AGE 0-19,AGE 20-49,AGE 50 ABOVE
13183,GA,Long County,3134,16.8,46428,18998,9583,9415,5594,8322,5082
13185,GA,Lowndes County,28539,25.9,41820,116321,56320,60001,32974,51264,32083
13187,GA,Lumpkin County,4494,14.9,55583,32955,16335,16620,7907,12960,12088
13189,GA,McDuffie County,4223,19.9,42768,21531,10081,11450,5975,7420,8136
13191,GA,McIntosh County,3055,21.5,42513,14340,7001,7339,2575,4476,7289
13193,GA,Macon County,3417,30.5,32868,13143,7203,5940,2785,5285,5073
13195,GA,Madison County,4722,16.1,51338,29650,14661,14989,7457,10905,11288
13197,GA,Marion County,1884,22.8,39114,8351,4112,4239,1951,2730,3670
13199,GA,Meriwether County,5071,24.4,38886,21068,10085,10983,5008,7196,8864
13201,GA,Miller County,1246,22.4,42483,5686,2725,2961,1404,1872,2410
13205,GA,Mitchell County,5849,29.3,36788,22192,11510,10682,5587,8671,7934
13207,GA,Monroe County,3411,13,59362,27520,13723,13797,6283,10007,11230
13209,GA,Montgomery County,1847,22.1,41834,9193,4727,4466,2228,3595,3370
13211,GA,Morgan County,2374,12.7,57978,18853,9068,9785,4735,6354,7764
13213,GA,Murray County,5987,15.2,46810,39921,19623,20298,10838,15179,13904
13215,GA,Muscogee County,37759,20.1,46628,194160,94349,99811,53376,80923,59861
13217,GA,Newton County,15946,14.8,56598,109541,51731,57810,31802,43083,34656
13219,GA,Oconee County,2215,5.7,99497,39272,19271,20001,11518,14085,13669
13221,GA,Oglethorpe County,2049,13.8,51105,15054,7439,7615,3464,5475,6115
13223,GA,Paulding County,12654,7.8,73309,164044,79857,84187,46932,68881,48231
13225,GA,Peach County,6240,24,46525,27297,13158,14139,7105,10318,9874
13227,GA,Pickens County,3462,11,65062,31980,15696,16284,7109,10759,14112
13229,GA,Pierce County,3490,18.1,44389,19389,9586,9803,5244,7152,6993
13231,GA,Pike County,1947,10.6,66901,18634,9164,9470,4823,7010,6801
13233,GA,Polk County,9079,21.8,43679,42470,20992,21478,11776,16100,14594
13235,GA,Pulaski County,2361,23.9,40582,11069,4774,6295,2223,4049,4797
13237,GA,Putnam County,3488,16.1,51205,21809,10643,11166,4778,6886,10145
13239,GA,Quitman County,580,25.5,33908,2279,1090,1189,451,579,1249
13241,GA,Rabun County,2346,14.2,44213,16867,8295,8572,3182,5282,8403
13243,GA,Randolph County,2008,30.8,28298,6833,3157,3676,1603,2116,3114
13245,GA,Richmond County,41554,21.9,40168,201554,97624,103930,52557,83878,65119
13247,GA,Rockdale County,11803,13.2,59673,90594,42596,47998,24858,33635,32101
13249,GA,Schley County,945,18.1,45378,5236,2484,2752,1443,1876,1917
13251,GA,Screven County,3493,25.9,39048,13938,6902,7036,3199,5016,5723
13253,GA,Seminole County,2083,25.4,36869,8315,3981,4334,1909,2680,3726
13255,GA,Spalding County,11184,17.3,43510,66100,31749,34351,17009,24601,24490
13257,GA,Stephens County,4092,16.3,45850,26035,12508,13527,6593,9188,10254
13259,GA,Stewart County,1757,37.9,33053,6199,4094,2105,888,3308,2003
13261,GA,Sumter County,7208,25.7,37562,29733,13967,15766,7938,11383,10412
13263,GA,Talbot County,1550,24.8,37265,6272,3002,3270,1141,1934,3197
13265,GA,Taliaferro County,395,24.6,34090,1608,796,812,295,513,800
13267,GA,Tattnall County,5298,25.6,41440,25391,14640,10751,5706,11286,8399
13269,GA,Taylor County,1813,22.9,36310,8039,3842,4197,1794,2836,3409
13271,GA,Telfair County,4042,31.9,34297,15876,9284,6592,2837,6971,6068
13273,GA,Terrell County,2311,27.8,35290,8611,4122,4489,2178,2919,3514
13275,GA,Thomas County,8846,20.2,41642,44448,21047,23401,11558,15758,17132
13277,GA,Tift County,7636,19.6,45680,40571,19622,20949,11584,15677,13310
13279,GA,Toombs County,6615,24.9,37148,26887,12781,14106,7783,9773,9331
13281,GA,Towns County,1704,16,45853,11852,5658,6194,2331,3074,6447
13283,GA,Treutlen County,1684,26.3,35069,6809,3386,3423,1705,2564,2540
13285,GA,Troup County,13643,20.2,45234,70034,33785,36249,18848,27449,23737
13287,GA,Turner County,2109,27.9,33261,7912,3844,4068,2102,2814,2996
13289,GA,Twiggs County,1719,21.3,42054,8188,4017,4171,1712,2628,3848
13291,GA,Union County,3268,13.8,45943,24001,11619,12382,4214,6283,13504
13293,GA,Upson County,5566,21.6,40965,26215,12447,13768,6419,9389,10407
13295,GA,Walker County,10542,15.5,43767,69410,34154,35256,16584,25601,27225
13297,GA,Walton County,10993,11.9,65416,93503,45507,47996,25410,35239,32854
13299,GA,Ware County,7827,23.6,38357,35680,17853,17827,9379,13430,12871
13301,GA,Warren County,1330,25.7,38352,5251,2488,2763,1151,1702,2398
13303,GA,Washington County,4787,25.9,39444,20386,10399,9987,4835,7679,7872
13305,GA,Wayne County,5147,18.6,44607,29808,15284,14524,7897,11473,10438
13307,GA,Webster County,592,22.7,38187,2611,1303,1308,567,819,1225
13309,GA,Wheeler County,2116,39.6,32691,7879,5095,2784,1501,3822,2556
13311,GA,White County,4118,14.1,51579,29970,14619,15351,6744,9975,13251
13313,GA,Whitfield County,14567,14.2,47074,104062,51848,52214,29634,40956,33472
13315,GA,Wilcox County,2101,30.8,35961,8812,5264,3548,1854,3737,3221
13317,GA,Wilkes County,1965,20.3,39361,9876,4741,5135,2310,3110,4456
13319,GA,Wilkinson County,2062,23.3,41036,9036,4323,4713,2256,2980,3800
13321,GA,Worth County,4128,20.5,48708,20299,9752,10547,4967,7093,8239
36001,NY,Albany County,32888,11.3,64536,307117,148733,158384,68921,126217,111979
36003,NY,Allegany County,7161,17,46262,46430,23569,22861,12064,16078,18288
36005,NY,Bronx County,380470,27.3,38566,1432132,674900,757232,392880,602990,436262
36007,NY,Broome County,31406,17.3,50928,191659,94240,97419,45061,70722,75876
36009,NY,Cattaraugus County,12711,17.1,48017,76840,38148,38692,19125,26149,31566
36011,NY,Cayuga County,9509,13,52945,77145,39522,37623,16890,28033,32222
36013,NY,Chautauqua County,22426,18.3,45689,127939,63165,64774,30330,44127,53482
